,Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude,Country
191,Greater Accra,Tema Metropolitan,Jireh Eye Clinic,Clinic,Tema Community 1,Private,5.63503,-0.00321,Ghana
192,Greater Accra,Accra Metropolitan,Johpat Hospital,Hospital,Dzorwulu,Private,5.61151,-0.19963,Ghana
193,Greater Accra,Tema Metropolitan,Kpone Health Centre,Health Centre,Kpone,Private,5.69206,0.05842,Ghana
194,Greater Accra,Accra Metropolitan,Jordan's Maternity Home,Maternity Home,La,Private,5.5621,-0.16464,Ghana
195,Greater Accra,Ga West,Joy Family Clinic,Clinic,Santamaria,Private,5.60186,-0.2741,Ghana
196,Greater Accra,Tema Metropolitan,Jubail Specialist Hospital,Hospital,Sakumano Estate,Private,5.62549,-0.05216,Ghana
197,Greater Accra,Accra Metropolitan,Juliana Aku Clegg Maternity home,Maternity Home,Zongo junction,Private,5.55837,-0.23957,Ghana
198,Greater Accra,Accra Metropolitan,Kaneshie Market Clinic,Clinic,Kaneshie,Private,5.56684,-0.2374,Ghana
199,Greater Accra,Accra Metropolitan,Kaneshie Polyclinic,Polyclinic,Kaneshie,Private,5.57446,-0.23074,Ghana
200,Greater Accra,Accra Metropolitan,Kaneshie School Clinic,Clinic,Kaneshie,Government,5.57281,-0.23295,Ghana
201,Greater Accra,Accra Metropolitan,Karikari Brobbey Hospital,Hospital,Agege (Agege road -Karikari area),Private,5.53092,-0.26149,Ghana
202,Greater Accra,Dangme East,Kasseh Health Centre,Health Centre,Kasseh,Private,5.89665,0.52294,Ghana
203,Greater Accra,Accra Metropolitan,Keep Smiling clinic,Clinic,Mamprobi (opposite mtyr uganda),Private,5.53292,-0.23732,Ghana
204,Greater Accra,Accra Metropolitan,King David Hospital,Hospital,Kotobabi,Private,5.59277,-0.20588,Ghana
205,Greater Accra,Ga East,Kokrobite CHPS,CHPS,Kokrobite,Private,5.50209,-0.37027,Ghana
206,Greater Accra,Ga West,Kokrobite Community Clinic,Clinic,Kokrobite,Government,5.50179,-0.37017,Ghana
207,Greater Accra,Accra Metropolitan,Korle-Bu Polyclinic,Polyclinic,Korle-Bu,Private,5.580728,-0.210467,Ghana
208,Greater Accra,Accra Metropolitan,Korle-Bu Teaching Hospital,Hospital,Korle-bu,Private,5.53719,-0.2266,Ghana
209,Greater Accra,Ga East,Korle-Gonno Polyclinic,Polyclinic,Korle-bu,Government,5.53736,-0.22312,Ghana
